"commit","id","name","node_id","serialVersionUID","tarball_url","zipball_url"
"Commit [sha=8f98a559c1a6d537d936a7019c376fac0766936f, url=https://api.github.com/repos/WordPress/WordPress/commits/8f98a559c1a6d537d936a7019c376fac0766936f]","60de456cf41b58030f40b999","2.0","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvMi4w","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/2.0","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/2.0"
"Commit [sha=badb4ab84299f244f8c08b42d057ba2abf67add0, url=https://api.github.com/repos/WordPress/WordPress/commits/badb4ab84299f244f8c08b42d057ba2abf67add0]","60de470a1778ce403de10533","2.2.2","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvMi4yLjI=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/2.2.2","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/2.2.2"
"Commit [sha=f33932899302ef01910a9785cb65998ecd8a552f, url=https://api.github.com/repos/WordPress/WordPress/commits/f33932899302ef01910a9785cb65998ecd8a552f]","60de46821778ce403de103b3","4.5.5","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC41LjU=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.5.5","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.5.5"
"Commit [sha=4a4a91e6d67d8f9fc674d1b154d51e8fea89c2b0, url=https://api.github.com/repos/WordPress/WordPress/commits/4a4a91e6d67d8f9fc674d1b154d51e8fea89c2b0]","60de46821778ce403de103c7","4.1.20","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC4xLjIw","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.1.20","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.1.20"
"Commit [sha=2d8605589a119b5d46ceb70ce26bb8560c9ecdf7, url=https://api.github.com/repos/WordPress/WordPress/commits/2d8605589a119b5d46ceb70ce26bb8560c9ecdf7]","60de4570f41b58030f40ba8f","4.8.4","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC44LjQ=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.8.4","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.8.4"
"Commit [sha=7c832716ccff0ff11d386862c85336bbdb52866d, url=https://api.github.com/repos/WordPress/WordPress/commits/7c832716ccff0ff11d386862c85336bbdb52866d]","60de46821778ce403de1043c","4.2.23","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC4yLjIz","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.2.23","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.2.23"
"Commit [sha=f6a29831c76d2dbe82e9ae673539f910654c58a4, url=https://api.github.com/repos/WordPress/WordPress/commits/f6a29831c76d2dbe82e9ae673539f910654c58a4]","60de470c1778ce403de1066c","4.4","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC40","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.4","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.4"
"Commit [sha=323da3ca5ff6de53478d248a748e20ad528e57b8, url=https://api.github.com/repos/WordPress/WordPress/commits/323da3ca5ff6de53478d248a748e20ad528e57b8]","60de4574f41b58030f40bb4f","4.2.17","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC4yLjE3","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.2.17","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.2.17"
"Commit [sha=06fa4161aa74619239cf27017d124081c825684a, url=https://api.github.com/repos/WordPress/WordPress/commits/06fa4161aa74619239cf27017d124081c825684a]","60de4821d827e516288d50d1","4.8","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC44","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.8","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.8"
"Commit [sha=72f2d37159b724913cfb1c248b8dd2b88ed33ff2, url=https://api.github.com/repos/WordPress/WordPress/commits/72f2d37159b724913cfb1c248b8dd2b88ed33ff2]","60de46821778ce403de103d8","4.4.22","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvNC40LjIy","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/4.4.22","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/4.4.22"
"Commit [sha=31cbc32eecd06ac70ffd7f4f8f8f2cd8e3d96877, url=https://api.github.com/repos/WordPress/WordPress/commits/31cbc32eecd06ac70ffd7f4f8f8f2cd8e3d96877]","60de470c1778ce403de10661","2.2.3","MDM6UmVmMjg4OTMyODpyZWZzL3RhZ3MvMi4yLjM=","","https://api.github.com/repos/WordPress/WordPress/tarball/refs/tags/2.2.3","https://api.github.com/repos/WordPress/WordPress/zipball/refs/tags/2.2.3"
